,Accuracy,Precision,Sensitivity o recall,Specificity,Sorensen-Dice coefficient,Jaccard index;;;;;;;;;;;;;;;;;;;;
Datos/Validacion/RoiImg\Mamo_01.jpg,0.87103271484375,0.9972846210812145,0.7944154950349032,0.9964590375020119,0.884364909976468,0.792700873148239;;;;;;;;;;;;;;;Accuracy;Precision;Sensitivity o recall;Specificity;Sorensen-Dice coefficient;Jaccard index
Datos/Validacion/RoiImg\Mamo_0125.jpg,0.99346923828125,0.9700665188470067,0.9706045479755963,0.9962965503051917,0.9703354588300527,0.942380183091007;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0124.jpg;0.9039306640625;0.9039506172839507;0.7554684275691291;0.9662853180793899;0.82306654676259;0.699331423113658
Datos/Validacion/RoiImg\Mamo_0126.jpg,0.99365234375,0.957350272232305,0.9952830188679245,0.9934099831744251,0.9759481961147086,0.953026196928636;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0125.jpg;0.99346923828125;0.9700665188470067;0.9706045479755963;0.9962965503051917;0.9703354588300527;0.942380183091007
Datos/Validacion/RoiImg\Mamo_0127.jpg,0.99432373046875,0.9377093101138647,1.0,0.9937933796049119,0.9678534393363291,0.9377093101138647;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0126.jpg;0.99365234375;0.957350272232305;0.9952830188679245;0.9934099831744251;0.9759481961147086;0.953026196928636
Datos/Validacion/RoiImg\Mamo_0128.jpg,0.88507080078125,0.4209872710338404,0.9868995633187773,0.8757495003331113,0.5902067464635473,0.4186477307811053;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0127.jpg;0.99432373046875;0.9377093101138647;1.0;0.9937933796049119;0.9678534393363291;0.9377093101138647
Datos/Validacion/RoiImg\Mamo_0129.jpg,0.9957275390625,0.93419740777667,0.9957492029755579,0.9957262189988991,0.9639917695473251,0.9304865938430983;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0128.jpg;0.88507080078125;0.4209872710338404;0.9868995633187773;0.8757495003331113;0.5902067464635473;0.4186477307811053
Datos/Validacion/RoiImg\Mamo_013.jpg,0.8048095703125,0.9932840832773674,0.701413259982927,0.9914398219482965,0.8222148098732488,0.698102520532427;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0129.jpg;0.9957275390625;0.93419740777667;0.9957492029755579;0.9957262189988991;0.9639917695473251;0.9304865938430983
Datos/Validacion/RoiImg\Mamo_0130.jpg,0.99468994140625,0.907103825136612,0.9975961538461539,0.9945344650205762,0.9502003434459073,0.9051254089422028;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_013.jpg;0.8048095703125;0.9932840832773674;0.701413259982927;0.9914398219482965;0.8222148098732488;0.698102520532427
Datos/Validacion/RoiImg\Mamo_0131.jpg,0.9952392578125,0.9227166276346604,0.985,0.9957648870636551,0.9528415961305925,0.9099307159353349;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0130.jpg;0.99468994140625;0.907103825136612;0.9975961538461539;0.9945344650205762;0.9502003434459073;0.9051254089422028
Datos/Validacion/RoiImg\Mamo_0132.jpg,0.9852294921875,0.8440721649484536,1.0,0.9839458670558577,0.9154437456324249,0.8440721649484536;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0131.jpg;0.9952392578125;0.9227166276346604;0.985;0.9957648870636551;0.9528415961305925;0.9099307159353349
Datos/Validacion/RoiImg\Mamo_0133.jpg,0.99041748046875,0.9071472205253512,0.9966442953020134,0.9897945481401906,0.9497921330348577,0.9043848964677222;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0132.jpg;0.9852294921875;0.8440721649484536;1.0;0.9839458670558577;0.9154437456324249;0.8440721649484536
