,Accuracy,Precision,Sensitivity o recall,Specificity,Sorensen-Dice coefficient,Jaccard index
Datos/Validacion/RoiImg\Mamo_037.jpg,0.9051513671875,0.9111842105263158,0.8942140551278868,0.9157262905162065,0.9026193758616368,0.8225216994061215
Datos/Validacion/RoiImg\Mamo_038.jpg,0.90386962890625,0.8723869979205429,0.9511933174224344,0.8543228385807097,0.9100873437232403,0.8350094280326839
Datos/Validacion/RoiImg\Mamo_039.jpg,0.93304443359375,0.9638390429581294,0.7862053670436904,0.9888,0.866007084402101,0.7636794485135717
Datos/Validacion/RoiImg\Mamo_04.jpg,0.92596435546875,0.972893629513651,0.9139547710976282,0.9496912459135488,0.9425036735080817,0.8912595248767369
Datos/Validacion/RoiImg\Mamo_040.jpg,0.83319091796875,0.9905890168290522,0.7716257007330746,0.9822509918563375,0.8675037572114219,0.7660102739726027
Datos/Validacion/RoiImg\Mamo_041.jpg,0.9366455078125,0.9154810706534845,0.9575031525851198,0.9170806718713035,0.9360207100591716,0.8797358359402155
Datos/Validacion/RoiImg\Mamo_042.jpg,0.88140869140625,0.9921651667548967,0.8337188612099644,0.9856143079315708,0.9060671984529852,0.8282658652996288
Datos/Validacion/RoiImg\Mamo_043.jpg,0.888427734375,0.841091658084449,0.966280170373876,0.8054715078164397,0.8993502918180817,0.8171085542771386
Datos/Validacion/RoiImg\Mamo_044.jpg,0.77880859375,0.5019718309859155,0.9759036144578314,0.7222745837260446,0.6629464285714286,0.4958263772954925
Datos/Validacion/RoiImg\Mamo_045.jpg,0.9364013671875,0.9327168755323032,0.9400367872470877,0.9327986389597764,0.9363625259557835,0.8803399173174092
Datos/Validacion/RoiImg\Mamo_046.jpg,0.84649658203125,0.9350493144094298,0.6338878016960209,0.9736636753804135,0.7555641947711148,0.6071540143705092
Datos/Validacion/RoiImg\Mamo_047.jpg,0.847412109375,0.7763518385003605,0.8501500078951524,0.8456869963187742,0.8115767259571902,0.6829020801623541
Datos/Validacion/RoiImg\Mamo_048.jpg,0.91107177734375,0.9343902850396357,0.8383777239709443,0.960208674304419,0.8837839993618888,0.7917679005287981
Datos/Validacion/RoiImg\Mamo_049.jpg,0.90264892578125,0.8001675743611227,0.9721750933152359,0.8635843660629171,0.8778245882803524,0.7822525597269625
Datos/Validacion/RoiImg\Mamo_05.jpg,0.87860107421875,0.9976167262485105,0.8239978525411596,0.9957757296466974,0.9025334444063312,0.8223789962493302
Datos/Validacion/RoiImg\Mamo_050.jpg,0.86138916015625,0.9415730337078652,0.8070626003210273,0.9335132831368093,0.8691443388072602,0.7685723020483033
Datos/Validacion/RoiImg\Mamo_051.jpg,0.9119873046875,0.8763581865867366,0.9394831972151559,0.8889512058328659,0.9068234685965366,0.8295306773850337
Datos/Validacion/RoiImg\Mamo_052.jpg,0.9176025390625,0.9778064278478681,0.9054319092692078,0.9482499463173717,0.9402284601080315,0.8871991978609626
Datos/Validacion/RoiImg\Mamo_053.jpg,0.94281005859375,0.9606276332994333,0.9084913437757626,0.9702394025916978,0.9338323564720006,0.8758775996820771
Datos/Validacion/RoiImg\Mamo_054.jpg,0.86810302734375,0.9461920529801324,0.8242505408468116,0.9318556237831361,0.8810218576226394,0.7873450108246408
Datos/Validacion/RoiImg\Mamo_055.jpg,0.90350341796875,0.8473589352557882,0.9271844660194175,0.8875612745098039,0.8854762767113364,0.7944884960353569
